,Country,case,Criminel,Victimes,Périodes,Condamnation,Peine,Notes,begining,End,name
610,Turquie,  Yavuz Yapıcıoğlu    (en)   (au moins 18 victimes) entre 1994 et 2002. « Le tueur au tournevis »   [ 107 ]   . ,  Yavuz Yapıcıoğlu    ,au moins 18 victimes,,,,,,,Turkey
611,Turquie,"  Orhan Aksoy  (5 victimes) dans les années 1990. « Le tueur au colis »   [ 107 ]    ,    [ 108 ]   . ",  Orhan Aksoy  ,5 victimes,,,,,,,Turkey
612,Turquie,  Erdinç Tümer  (5 victimes) dans les années 1990. « Le  Terminator  à  Uzi  »   [ 107 ]   . ,  Erdinç Tümer  ,5 victimes,,,,,,,Turkey
613,Ukraine,"  Anatoly Onoprienko  (1959-2013) (au moins 52 victimes) entre 1989 et 1996. « La bête d'Ukraine », « Citoyen O » ou « Le Terminator ». ",  Anatoly Onoprienko  ,au moins 52 victimes,,,,,,,Ukraine
614,Ukraine,  Viktor Sajenko et Igor Suprunjuk  (21 victimes) en 2007 autour de  Dnepropetrovsk . ,  Viktor Sajenko et Igor Suprunjuk  ,21 victimes,,,,,,,Ukraine
615,Ukraine,"  Serhiy Tkach    (en)   (Sergei F. Weaver), (+29/80-100 victimes). ",  Serhiy Tkach    ,+29/80-100 victimes,,,,,,,Ukraine
616,Venezuela,  Dorángel Vargas  (10 victimes) entre 1997 et 1999. Le « Hannibal Lecter des Andes ». ,  Dorángel Vargas  ,10 victimes,,,,,,,Venezuela
617,Yémen,  Zu Shenatir    (en)   au    V  e   siècle . ,  Zu Shenatir    ,,,,,,,,Yemen
618,Zambie,"  Les frères Mailoni  (12 victimes) de 2007 à 2013. Mika, Stephano et Fabian « Tunda ». Abattus par les commandos de l'armée. ",  Les frères Mailoni  ,12 victimes,,,,,,,Zambia
0,Afghanistan,,Abul Djabar,65,0.0,,Peine de mort,21 octobre 1970,1970.0,1970.0,Afghanistan
1,Afghanistan,,Abdullah Shah,20,3.0,,Peine de mort,20 avril 2004,2001.0,2004.0,Afghanistan
2,France,,Albert Pel,5,12.0,14 août 1885,Perpétuité,Meurt en prison après 39 ans de détention.,1872.0,1884.0,France
3,France,,Jeanne Weber,10,3.0,,,Acquitée (irresponsable pénalement).,1905.0,1908.0,France
4,France,,Henri Désiré Landru,11,4.0,30 novembre 1921,Peine de mort,25 février 1922,1915.0,1919.0,France
5,France,,Marcel Petiot,27,2.0,4 avril 1946,Peine de mort,25 mai 1946,1942.0,1944.0,France
6,France,,Albert Millet,3,53.0,,,Se suicide avant son procès.,1954.0,2007.0,France
7,France,,Marcel Barbeault,7,7.0,10 juin 1981,Perpétuité,,1969.0,1976.0,France
8,France,,Pierre Bodein,3,35.0,25 juin 2004,Perpétuité,,1969.0,2004.0,France
9,France,,Émile Louis,8,5.0,25 novembre 2004,Perpétuité,Meurt en prison après 12 ans de détention.,1975.0,1980.0,France
10,France,,Pierre Chanal,8,13.0,,,Se suicide avant son procès.,1975.0,1988.0,France
11,France,,Jacques Fruminet,3,18.0,11 décembre 2001,Perpétuité,Meurt en prison après 15 ans de détention.,1980.0,1998.0,France
12,France,,"Raymond Bammy
",3,6.0,17 février 1993,Perpétuité,,1981.0,1987.0,France
13,France,,Guy Georges,7,6.0,5 avril 2001,Perpétuité,,1991.0,1997.0,France
14,France,,Thierry Paulin,21,3.0,,,Meurt avant son procès.,1984.0,1987.0,France
15,France,,Jean-Thierry Mathurin,8,0.0,20 décembre 1991,Perpétuité,Libéré après 21 ans de détention.,1984.0,1984.0,France
16,France,,Francis Heaulme,11,8.0,29 janvier 1994,Perpétuité,,1984.0,1992.0,France
17,France,,Nadir Sedrati,3,14.0,3 mai 2002,Perpétuité,,1985.0,1999.0,France
18,France,,Michel Fourniret,11,14.0,28 mai 2008,Perpétuité,,1987.0,2001.0,France
19,France,,None,4,0.0,25 avril 1991,Perpétuité,,1989.0,1989.0,France
20,France,,Patrice Alègre,5,8.0,21 février 2002,Perpétuité,,1989.0,1997.0,France
21,France,,Dominique Cottrez,8,11.0,2 juillet 2015,9 ans de réclusion,Libérée après 5 ans de détention.,1989.0,2000.0,France
22,France,,Yvan Keller,23,17.0,,,Se suicide avant son procès.,1989.0,2006.0,France
23,France,,Rémy Roy,3,1.0,28 juin 1996,Perpétuité,,1990.0,1991.0,France
24,France,,Vincenzo Aiutino,3,1.0,6 mars 1998,Perpétuité,,1991.0,1992.0,France
25,France,,Jacquy Haddouche,3,10.0,7 mai 2008,Perpétuité,Meurt en prison après 8 ans de détention.,1992.0,2002.0,France
26,France,,Claude Lastennet,5,1.0,22 octobre 1997,Perpétuité,,1993.0,1994.0,France
27,France,,"Michel Asanovic
",3,2.0,,,Se suicide avant son procès.,1993.0,1995.0,France
28,France,,Albert Foulcher,5,8.0,,,Se suicide avant son procès.,1993.0,2001.0,France
29,France,,Louis Poirson,4,4.0,24 septembre 2002,Perpétuité,,1995.0,1999.0,France
30,France,,Christine Malèvre,6,1.0,31 janvier 2003,12 ans de réclusion,Libérée après 4 ans de détention.,1997.0,1998.0,France
31,France,,Sid Ahmed Rezala,3,0.0,,,Se suicide avant son procès.,1999.0,1999.0,France
32,France,,Véronique Courjault,3,4.0,18 juin 2009,8 ans de réclusion,Libérée après 4 ans de détention.,1999.0,2003.0,France
33,France,,Céline Lesage,6,7.0,18 mars 2010,15 ans de réclusion,,2000.0,2007.0,France
34,France,,Yoni Palmier,4,1.0,16 avril 2015,Perpétuité,,2011.0,2012.0,France
35,France,,Ludivine Chambet,10,1.0,23 mai 2017,25 ans de réclusion,,2012.0,2013.0,France
36,Gabon,,"Mba Ntem
",6,9.0,,,,1979.0,1988.0,Gabon
37,Grèce,,Antónis Daglís,3,3.0,,Perpétuité (25 ans de sûreté),Se suicide en 1997.,1992.0,1995.0,Greece
38,Guatemala,,"José Bux
",15,0.0,,,,1946.0,1946.0,Guatemala
